query_idx,query,n_words,spread,spread_reason,mrr,ap,p@1,p@2,p@3,p@5,r@2,ndcg@2,found_at,elapsed_s
0,"According to the passage, what would not be considered an ac",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,372.4
1,"When playing the accordion, which of the following will help",14,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.1
2,Why do the images on television have their borders cut?,10,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,34.3
3,"According to the passage, which of the following problems mi",19,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,37.9
4,Where was there a British garrison located?,7,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.3
5,Whose signature appeared on the handwritten draft?,7,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.4
6,"Out of the following locations, where did a Dunlap broadside",12,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,127.8
7,Where were Colonel Stark’s troops situated?,6,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,29.4
8,"According to the passage, when did Stark’s men extend their ",11,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,36.2
9,"According to the passage, which of the following was one of ",15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,28.3
10,"According to the passage, what is true of an army ant colony",16,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.3
11,"According to the passage, which statement accurately reflect",19,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,37.0
12,Which of the following will continue despite the presence of,12,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,29.0
13,Which term describes individuals that display variances of a,12,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,29.9
14,Which of the following is the correct term for organisms tha,15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,31.6
15,Which of the following would not be an example of a nature-b,14,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,27.2
16,"According to the passage, which of the following is the basi",15,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,38.1
17,The particles that orbit the nucleus have which type of char,11,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,35.1
18,The nucleus is composed of which particles?,7,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,34.9
19,"According to the passage, which of the following is an examp",17,1,uniform,1.0000,1.0000,1.0000,0.5000,0.3333,0.2000,1.0000,0.5000,1,33.8
